Année scolaire;Code région;Code région Insee;Libellé région académique;Code académie;Libellé académie;Code département;Libellé département;Code commune Insee;Libellé commune;UAI;Nom de l'établissement;Secteur;IPS;Ecart type de l'IPS;IPS national privé;IPS national public;IPS national;IPS académique privé;IPS académique public;IPS académique;IPS départemental privé;IPS départemental public;IPS départemental;Latitude et longitude WGS84
2024-2025;06;44;GRAND EST;19;REIMS;51;MARNE;51649;VITRY LE FRANCOIS;0511256N;COLLEGE LES INDES;public;87.4;28.2;125.1;100.9;106.1;119.6;94.3;99.0;122.6;97.1;102.6;48.72877575805801, 4.580520187764212
2024-2025;06;44;GRAND EST;19;REIMS;51;MARNE;51230;EPERNAY;0511327R;COLLEGE TERRES ROUGES;public;88.3;27.4;125.1;100.9;106.1;119.6;94.3;99.0;122.6;97.1;102.6;49.02791590487967, 3.957149511920305
2024-2025;06;44;GRAND EST;19;REIMS;51;MARNE;51237;ESTERNAY;0511567B;COLLEGE DU GRAND MORIN;public;99.0;31.0;125.1;100.9;106.1;119.6;94.3;99.0;122.6;97.1;102.6;48.7309188805646, 3.556340443422617
2024-2025;06;44;GRAND EST;19;REIMS;51;MARNE;51172;CORMONTREUIL;0511961E;COLLEGE PIERRE DE COUBERTIN;public;99.1;34.4;125.1;100.9;106.1;119.6;94.3;99.0;122.6;97.1;102.6;49.219596209033455, 4.034516698454307
2024-2025;06;44;GRAND EST;19;REIMS;51;MARNE;51662;WITRY LES REIMS;0512014M;COLLEGE LEONARD DE VINCI;public;116.8;32.9;125.1;100.9;106.1;119.6;94.3;99.0;122.6;97.1;102.6;49.291686636816166, 4.108070626688349
2024-2025;06;44;GRAND EST;19;REIMS;52;HAUTE-MARNE;52197;FAYL BILLOT;0520017L;COLLEGE DES TROIS PROVINCES;public;89.2;25.7;125.1;100.9;106.1;119.6;94.3;99.0;111.9;92.0;94.8;47.78091344389857, 5.606789606755099
2024-2025;06;44;GRAND EST;19;REIMS;52;HAUTE-MARNE;52331;LA PORTE DU DER;0520022S;COLLEGE JEAN RENOIR;public;99.0;31.0;125.1;100.9;106.1;119.6;94.3;99.0;111.9;92.0;94.8;48.48056589660886, 4.767730387677093
2024-2025;17;52;PAYS DE LA LOIRE;17;NANTES;53;MAYENNE;53077;COSSE LE VIVIEN;0530030V;COLLEGE L ORIETTE;public;98.9;31.0;125.1;100.9;106.1;117.5;102.8;109.1;108.8;97.8;102.5;47.94357087521468, -0.91006964851329
2024-2025;17;52;PAYS DE LA LOIRE;17;NANTES;53;MAYENNE;53084;CRAON;0530055X;COLLEGE PRIVE LE PRIEURE ENSEMBLE SCOLAIRE BX FRASSATI;privé sous contrat;99.1;26.7;125.1;100.9;106.1;117.5;102.8;109.1;108.8;97.8;102.5;47.845267577998804, -0.9608904072250524
2024-2025;17;52;PAYS DE LA LOIRE;17;NANTES;53;MAYENNE;53152;MESLAY DU MAINE;0530063F;COLLEGE PRIVE NOTRE DAME;privé sous contrat;106.7;27.6;125.1;100.9;106.1;117.5;102.8;109.1;108.8;97.8;102.5;47.948945331398356, -0.5529804329690036
2024-2025;17;52;PAYS DE LA LOIRE;17;NANTES;53;MAYENNE;53161;MONTSURS;0530792Y;COLLEGE BEATRIX DE GAVRE;public;101.8;26.6;125.1;100.9;106.1;117.5;102.8;109.1;108.8;97.8;102.5;48.132099742579655, -0.5560441830364663
2024-2025;17;52;PAYS DE LA LOIRE;17;NANTES;53;MAYENNE;53062;CHATEAU GONTIER SUR MAYENNE;0530827L;COLLEGE PAUL EMILE VICTOR;public;106.8;33.1;125.1;100.9;106.1;117.5;102.8;109.1;108.8;97.8;102.5;47.837114059889466, -0.6995424181704569
2024-2025;17;52;PAYS DE LA LOIRE;17;NANTES;53;MAYENNE;53130;LAVAL;0530914F;COLLEGE FERNAND PUECH;public;109.9;37.1;125.1;100.9;106.1;117.5;102.8;109.1;108.8;97.8;102.5;48.073132062117665, -0.7659097208520368
2024-2025;06;44;GRAND EST;12;NANCY-METZ;54;MEURTHE-ET-MOSELLE;54099;VAL DE BRIEY;0540008R;COLLEGE JULES FERRY;public;102.1;30.9;125.1;100.9;106.1;122.6;97.2;100.9;125.5;100.3;104.1;49.238831783153174, 5.972430533922175
2024-2025;06;44;GRAND EST;12;NANCY-METZ;54;MEURTHE-ET-MOSELLE;54176;EINVILLE AU JARD;0540017A;COLLEGE CHARLES MAXIMILIEN DUVIVIER;public;109.7;30.4;125.1;100.9;106.1;122.6;97.2;100.9;125.5;100.3;104.1;48.66162041414905, 6.482570266734345
2024-2025;06;44;GRAND EST;12;NANCY-METZ;54;MEURTHE-ET-MOSELLE;54518;THIAUCOURT REGNIEVILLE;0540064B;COLLEGE FERDINAND BUISSON;public;97.5;29.5;125.1;100.9;106.1;122.6;97.2;100.9;125.5;100.3;104.1;48.95023883684387, 5.870090150374094
2024-2025;06;44;GRAND EST;12;NANCY-METZ;54;MEURTHE-ET-MOSELLE;54184;ESSEY LES NANCY;0541211Y;COLLEGE EMILE GALLE;public;105.0;33.7;125.1;100.9;106.1;122.6;97.2;100.9;125.5;100.3;104.1;48.70004339242134, 6.2216805889771125
2024-2025;06;44;GRAND EST;12;NANCY-METZ;54;MEURTHE-ET-MOSELLE;54159;DOMBASLE SUR MEURTHE;0541325X;COLLEGE EMBANIE;public;109.7;33.3;125.1;100.9;106.1;122.6;97.2;100.9;125.5;100.3;104.1;48.61695802859028, 6.362330096456626
2024-2025;06;44;GRAND EST;12;NANCY-METZ;54;MEURTHE-ET-MOSELLE;54323;LONGWY;0541334G;COLLEGE ALBERT LEBRUN;public;82.2;26.1;125.1;100.9;106.1;122.6;97.2;100.9;125.5;100.3;104.1;49.53239073301865, 5.761939597672267
2024-2025;06;44;GRAND EST;12;NANCY-METZ;54;MEURTHE-ET-MOSELLE;54115;CHAMPIGNEULLES;0541466A;COLLEGE JULIEN FRANCK;public;103.8;35.5;125.1;100.9;106.1;122.6;97.2;100.9;125.5;100.3;104.1;48.72933536396607, 6.1691194380395675
2024-2025;06;44;GRAND EST;12;NANCY-METZ;54;MEURTHE-ET-MOSELLE;54304;LAXOU;0541469D;COLLEGE LA FONTAINE;public;70.7;22.6;125.1;100.9;106.1;122.6;97.2;100.9;125.5;100.3;104.1;48.69846285671614, 6.134789846987164
2024-2025;06;44;GRAND EST;12;NANCY-METZ;54;MEURTHE-ET-MOSELLE;54395;NANCY;0541501N;COLLEGE NIKI DE SAINT PHALLE;public;94.9;35.5;125.1;100.9;106.1;122.6;97.2;100.9;125.5;100.3;104.1;48.67062395524581, 6.159480374961708
