Rentrée scolaire;Code région;Région;Code de l'académie;Académie;Code du département;Département;Code INSEE de la commune;Nom de la commune;UAI;Nom de l'établissement;Secteur;IPS;IPS national privé;IPS national public;IPS national;IPS académique privé;IPS académique public;IPS académique;IPS départemental privé;IPS départemental public;IPS départemental;num_ligne
2022-2023;01;AUVERGNE-RHONE-ALPES;10;LYON;01;AIN;01004;AMBERIEU EN BUGEY;0010093W;ECOLE PRIMAIRE PRIVEE SAINTE MARIE;privé sous contrat;120.2;119.3;102.9;105.4;121.9;105.6;108.7;119.8;106.5;108.1;1.0
2022-2023;01;AUVERGNE-RHONE-ALPES;10;LYON;01;AIN;01210;LELEX;0010106K;ECOLE ELEMENTAIRE;public;95.5;119.3;102.9;105.4;121.9;105.6;108.7;119.8;106.5;108.1;2.0
2022-2023;01;AUVERGNE-RHONE-ALPES;10;LYON;01;AIN;01399;SEGNY;0010107L;ECOLE LE PETIT PRINCE;public;130.3;119.3;102.9;105.4;121.9;105.6;108.7;119.8;106.5;108.1;3.0
2022-2023;01;AUVERGNE-RHONE-ALPES;10;LYON;01;AIN;01436;VESANCY;0010108M;ECOLE PRIMAIRE;public;128.8;119.3;102.9;105.4;121.9;105.6;108.7;119.8;106.5;108.1;4.0
2022-2023;01;AUVERGNE-RHONE-ALPES;10;LYON;01;AIN;01160;FERNEY VOLTAIRE;0010109N;ECOLE PRIMAIRE JEAN CALAS;public;125.3;119.3;102.9;105.4;121.9;105.6;108.7;119.8;106.5;108.1;5.0
2022-2023;01;AUVERGNE-RHONE-ALPES;10;LYON;01;AIN;01160;FERNEY VOLTAIRE;0010110P;ECOLE PRIMAIRE FLORIAN;public;102.7;119.3;102.9;105.4;121.9;105.6;108.7;119.8;106.5;108.1;6.0
2022-2023;01;AUVERGNE-RHONE-ALPES;10;LYON;01;AIN;01281;ORNEX;0010112S;ECOLE PRIMAIRE;public;123.2;119.3;102.9;105.4;121.9;105.6;108.7;119.8;106.5;108.1;7.0
2022-2023;01;AUVERGNE-RHONE-ALPES;10;LYON;01;AIN;01354;SAINT GENIS POUILLY;0010116W;ECOLE PRIMAIRE PREGNIN;public;116.7;119.3;102.9;105.4;121.9;105.6;108.7;119.8;106.5;108.1;8.0
2022-2023;01;AUVERGNE-RHONE-ALPES;10;LYON;01;AIN;01397;SAUVERNY;0010117X;ECOLE PRIMAIRE LES GENEVRIERS;public;128.8;119.3;102.9;105.4;121.9;105.6;108.7;119.8;106.5;108.1;9.0
2022-2023;01;AUVERGNE-RHONE-ALPES;10;LYON;01;AIN;01401;SERGY;0010118Y;ECOLE PRIMAIRE;public;122.8;119.3;102.9;105.4;121.9;105.6;108.7;119.8;106.5;108.1;10.0
2022-2023;01;AUVERGNE-RHONE-ALPES;10;LYON;01;AIN;01435;VERSONNEX;0010122C;ECOLE ELEMENTAIRE YVES DE TONNAC;public;125.5;119.3;102.9;105.4;121.9;105.6;108.7;119.8;106.5;108.1;11.0
2022-2023;01;AUVERGNE-RHONE-ALPES;10;LYON;01;AIN;01307;PORT;0010123D;ECOLE PRIMAIRE JEAN DE LA FONTAINE;public;106.4;119.3;102.9;105.4;121.9;105.6;108.7;119.8;106.5;108.1;12.0
2022-2023;01;AUVERGNE-RHONE-ALPES;10;LYON;01;AIN;01103;CHEVRY;0010130L;ECOLE PRIMAIRE FRANCOISE DOLTO;public;128.7;119.3;102.9;105.4;121.9;105.6;108.7;119.8;106.5;108.1;13.0
2022-2023;01;AUVERGNE-RHONE-ALPES;10;LYON;01;AIN;01135;CROZET;0010131M;ECOLE PRIMAIRE LES CHARDONS BLEUS;public;120.6;119.3;102.9;105.4;121.9;105.6;108.7;119.8;106.5;108.1;14.0
2022-2023;01;AUVERGNE-RHONE-ALPES;10;LYON;01;AIN;01153;ECHENEVEX;0010137U;ECOLE PRIMAIRE CLEMENT CHAZALET;public;131.6;119.3;102.9;105.4;121.9;105.6;108.7;119.8;106.5;108.1;15.0
2022-2023;01;AUVERGNE-RHONE-ALPES;10;LYON;01;AIN;01247;MIJOUX;0010138V;ECOLE PRIMAIRE;public;NS;119.3;102.9;105.4;121.9;105.6;108.7;119.8;106.5;108.1;16.0
2022-2023;01;AUVERGNE-RHONE-ALPES;10;LYON;01;AIN;01237;MARTIGNAT;0010139W;ECOLE ELEMENTAIRE PUBLIQUE;public;88.8;119.3;102.9;105.4;121.9;105.6;108.7;119.8;106.5;108.1;17.0
