Rentrée scolaire;Code région;Code région Insee;Région académique;Code académie;Académie;Code du département;Département;Code INSEE de la commune;Nom de la commune;UAI;Nom de l'établissement;Secteur;Type de lycée;IPS voie GT;IPS voie PRO;IPS post BAC;IPS de l'établissement;Ecart type voie GT;Ecart type voie PRO;Ecart-type établissement;IPS national LEGT;IPS national LPO;IPS national LP;IPS national LEGT privé;IPS national LEGT public;IPS national LPO privé;IPS national LPO public;IPS national LP privé;IPS national LP public;IPS académique LEGT;IPS académique LPO;IPS académique LP;IPS académique LEGT privé;IPS académique LEGT public;IPS académique LPO privé;IPS académique LPO public;IPS académique LP privé;IPS académique LP public;IPS départemental LEGT;IPS départemental LPO;IPS départemental LP;IPS départemental LEGT privé;IPS départemental LEGT public;IPS départemental LPO privé;IPS départemental LPO public;IPS départemental LP privé;IPS départemental LP public
2023-2024;01;84;AUVERGNE-RHONE-ALPES;10;LYON;01;AIN;01034;BELLEY;0010069V;LYCEE GENERAL ET TECHNOLOGIQUE PRIVE ENSEMBLE SCOLAIRE LAMARTINE;privé sous contrat;LEGT;118.7;;;118.7;29.7;;29.7;118.5;103.5;88.9;132.4;113.9;116.2;101.1;103.8;85.3;121.1;103.8;92.8;135.4;114.1;118.0;102.9;108.6;84.3;120.4;106.8;94.0;127.3;119.2;129.1;105.2;105.5;89.2
2023-2024;01;84;AUVERGNE-RHONE-ALPES;10;LYON;01;AIN;01160;FERNEY VOLTAIRE;0010072Y;LYCEE POLYVALENT INTERNATIONAL;public;LPO;123.8;94.7;94.1;121.3;34.3;26.6;34.7;118.5;103.5;88.9;132.4;113.9;116.2;101.1;103.8;85.3;121.1;103.8;92.8;135.4;114.1;118.0;102.9;108.6;84.3;120.4;106.8;94.0;127.3;119.2;129.1;105.2;105.5;89.2
2023-2024;01;84;AUVERGNE-RHONE-ALPES;10;LYON;01;AIN;01427;TREVOUX;0011276G;LYCEE GENERAL ET TECHNOLOGIQUE DU VAL DE SAONE;public;LEGT;128.4;;80.4;127.6;32.9;;33.3;118.5;103.5;88.9;132.4;113.9;116.2;101.1;103.8;85.3;121.1;103.8;92.8;135.4;114.1;118.0;102.9;108.6;84.3;120.4;106.8;94.0;127.3;119.2;129.1;105.2;105.5;89.2
2023-2024;09;32;HAUTS-DE-FRANCE;20;AMIENS;02;AISNE;02168;CHATEAU THIERRY;0020012C;LYCEE POLYVALENT JEAN DE LA FONTAINE LYCEE DES METIERS DE LA SANTE DE LA GESTION ET DU COMMERCE;public;LPO;102.6;86.5;85.6;96.6;31.3;25.8;30.5;118.5;103.5;88.9;132.4;113.9;116.2;101.1;103.8;85.3;110.1;95.3;86.0;125.2;105.7;;95.3;100.8;83.2;104.0;95.1;84.4;116.7;100.9;;95.1;97.0;80.9
2023-2024;09;32;HAUTS-DE-FRANCE;20;AMIENS;02;AISNE;02408;LAON;0020032Z;LYCEE GENERAL ET TECHNOLOGIQUE PAUL CLAUDEL;public;LEGT;104;;91.4;102.5;31.9;;31.8;118.5;103.5;88.9;132.4;113.9;116.2;101.1;103.8;85.3;110.1;95.3;86.0;125.2;105.7;;95.3;100.8;83.2;104.0;95.1;84.4;116.7;100.9;;95.1;97.0;80.9
2023-2024;09;32;HAUTS-DE-FRANCE;20;AMIENS;02;AISNE;02691;SAINT QUENTIN;0020048S;LYCEE GENERAL ET TECHNOLOGIQUE HENRI MARTIN;public;LEGT;100;;114.9;102.8;33.5;;34.1;118.5;103.5;88.9;132.4;113.9;116.2;101.1;103.8;85.3;110.1;95.3;86.0;125.2;105.7;;95.3;100.8;83.2;104.0;95.1;84.4;116.7;100.9;;95.1;97.0;80.9
2023-2024;09;32;HAUTS-DE-FRANCE;20;AMIENS;02;AISNE;02691;SAINT QUENTIN;0020051V;LYCEE PROFESSIONNEL D ART LYCEE DES METIERS;public;LP;;97.9;120.7;101.6;;31.5;33;118.5;103.5;88.9;132.4;113.9;116.2;101.1;103.8;85.3;110.1;95.3;86.0;125.2;105.7;;95.3;100.8;83.2;104.0;95.1;84.4;116.7;100.9;;95.1;97.0;80.9
2023-2024;09;32;HAUTS-DE-FRANCE;20;AMIENS;02;AISNE;02691;SAINT QUENTIN;0020052W;LYCEE PROFESSIONNEL COLARD NOEL LYCEE DES METIERS DU BATIMENT ET DE L HOTELLERIE;public;LP;;76.9;89;77.7;;22.2;22.8;118.5;103.5;88.9;132.4;113.9;116.2;101.1;103.8;85.3;110.1;95.3;86.0;125.2;105.7;;95.3;100.8;83.2;104.0;95.1;84.4;116.7;100.9;;95.1;97.0;80.9
2023-2024;09;32;HAUTS-DE-FRANCE;20;AMIENS;02;AISNE;02381;HIRSON;0020089L;LYCEE PROFESSIONNEL FREDERIC ET IRENE JOLIOT CURIE LYCEE DES METIERS DE LA GESTION ET DE L INDUSTRIE;public;LP;;76.3;;76.3;;21.3;21.4;118.5;103.5;88.9;132.4;113.9;116.2;101.1;103.8;85.3;110.1;95.3;86.0;125.2;105.7;;95.3;100.8;83.2;104.0;95.1;84.4;116.7;100.9;;95.1;97.0;80.9
2023-2024;09;32;HAUTS-DE-FRANCE;20;AMIENS;02;AISNE;02168;CHATEAU THIERRY;0021869W;LYCEE D ENSEIGNEMENT GENERAL ET TECHNOLOGIQUE PRIVE SAINT JOSEPH;privé sous contrat;LEGT;113.6;;104.8;111.5;29.8;;29.4;118.5;103.5;88.9;132.4;113.9;116.2;101.1;103.8;85.3;110.1;95.3;86.0;125.2;105.7;;95.3;100.8;83.2;104.0;95.1;84.4;116.7;100.9;;95.1;97.0;80.9
2023-2024;09;32;HAUTS-DE-FRANCE;20;AMIENS;02;AISNE;02408;LAON;0021872Z;LYCEE GENERAL ET TECHNOLOGIQUE PRIVE LA PROVIDENCE;privé sous contrat;LEGT;116.3;;;116.3;29.1;;29.1;118.5;103.5;88.9;132.4;113.9;116.2;101.1;103.8;85.3;110.1;95.3;86.0;125.2;105.7;;95.3;100.8;83.2;104.0;95.1;84.4;116.7;100.9;;95.1;97.0;80.9
2023-2024;09;32;HAUTS-DE-FRANCE;20;AMIENS;02;AISNE;02691;SAINT QUENTIN;0021873A;LYCEE GENERAL ET TECHNOLOGIQUE PRIVE ST JEAN LA CROIX;privé sous contrat;LEGT;125.1;;107.2;124.3;33;;33.1;118.5;103.5;88.9;132.4;113.9;116.2;101.1;103.8;85.3;110.1;95.3;86.0;125.2;105.7;;95.3;100.8;83.2;104.0;95.1;84.4;116.7;100.9;;95.1;97.0;80.9
2023-2024;09;32;HAUTS-DE-FRANCE;20;AMIENS;02;AISNE;02722;SOISSONS;0021874B;LYCEE GENERAL ET TECHNOLOGIQUE PRIVE SAINT REMY;privé sous contrat;LEGT;120;;105;117.7;33;;33.1;118.5;103.5;88.9;132.4;113.9;116.2;101.1;103.8;85.3;110.1;95.3;86.0;125.2;105.7;;95.3;100.8;83.2;104.0;95.1;84.4;116.7;100.9;;95.1;97.0;80.9
2023-2024;01;84;AUVERGNE-RHONE-ALPES;06;CLERMONT-FERRAND;03;ALLIER;03321;YZEURE;0030038A;LYCEE POLYVALENT JEAN MONNET LYCEE DES METIERS DU DESIGN ET DES ARTS VERRIERS;public;LPO;102.7;88.6;98.8;95.7;29.7;27.3;30;118.5;103.5;88.9;132.4;113.9;116.2;101.1;103.8;85.3;115.5;103.9;91.8;123.7;112.8;108.2;103.3;103.0;88.2;111.8;95.3;89.9;117.6;111.0;98.3;95.2;97.5;85.5
2023-2024;01;84;AUVERGNE-RHONE-ALPES;06;CLERMONT-FERRAND;03;ALLIER;03095;CUSSET;0030072M;LYCEE GENERAL PRIVE SAINT PIERRE;privé sous contrat;LEGT;126.3;;;126.3;33.9;;33.9;118.5;103.5;88.9;132.4;113.9;116.2;101.1;103.8;85.3;115.5;103.9;91.8;123.7;112.8;108.2;103.3;103.0;88.2;111.8;95.3;89.9;117.6;111.0;98.3;95.2;97.5;85.5
2023-2024;01;84;AUVERGNE-RHONE-ALPES;06;CLERMONT-FERRAND;03;ALLIER;03190;MOULINS;0030084A;LYCEE GENERAL PRIVE SAINT BENOIT;privé sous contrat;LEGT;105.8;;;105.8;30.7;;30.7;118.5;103.5;88.9;132.4;113.9;116.2;101.1;103.8;85.3;115.5;103.9;91.8;123.7;112.8;108.2;103.3;103.0;88.2;111.8;95.3;89.9;117.6;111.0;98.3;95.2;97.5;85.5
2023-2024;01;84;AUVERGNE-RHONE-ALPES;06;CLERMONT-FERRAND;03;ALLIER;03298;VARENNES SUR ALLIER;0030924N;LYCEE PROFESSIONNEL VAL D ALLIER;public;LP;;76.5;;76.9;;19.6;19.7;118.5;103.5;88.9;132.4;113.9;116.2;101.1;103.8;85.3;115.5;103.9;91.8;123.7;112.8;108.2;103.3;103.0;88.2;111.8;95.3;89.9;117.6;111.0;98.3;95.2;97.5;85.5
2023-2024;01;84;AUVERGNE-RHONE-ALPES;06;CLERMONT-FERRAND;03;ALLIER;03082;COMMENTRY;0031044U;LYCEE POLYVALENT GENEVIEVE VINCENT;public;LPO;99.9;84;;88;30.1;23.6;26.4;118.5;103.5;88.9;132.4;113.9;116.2;101.1;103.8;85.3;115.5;103.9;91.8;123.7;112.8;108.2;103.3;103.0;88.2;111.8;95.3;89.9;117.6;111.0;98.3;95.2;97.5;85.5
2023-2024;18;93;PROVENCE-ALPES-COTE D'AZUR;02;AIX-MARSEILLE;05;HAUTES-ALPES;05061;GAP;0050007F;LYCEE GENERAL ET TECHNOLOGIQUE ARISTIDE BRIAND;public;LEGT;117.4;;101.6;116.9;32.9;;32.9;118.5;103.5;88.9;132.4;113.9;116.2;101.1;103.8;85.3;116.1;106.3;86.2;131.3;109.2;109.2;105.7;96.5;83.1;116.6;116.2;97.5;123.7;115.7;;116.2;102.3;96.8
2023-2024;18;93;PROVENCE-ALPES-COTE D'AZUR;23;NICE;06;ALPES-MARITIMES;06083;MENTON;0060026W;LYCEE GENERAL ET TECHNOLOGIQUE PIERRE ET MARIE CURIE;public;LEGT;98.6;;89.2;98.3;30.4;;30.3;118.5;103.5;88.9;132.4;113.9;116.2;101.1;103.8;85.3;115.2;108.2;91.5;133.2;111.4;120.4;107.0;109.8;88.2;117.3;107.3;92.7;134.2;113.8;117.0;105.4;111.2;88.6
2023-2024;18;93;PROVENCE-ALPES-COTE D'AZUR;23;NICE;06;ALPES-MARITIMES;06083;MENTON;0060028Y;LYCEE PROFESSIONNEL PAUL VALERY LYCEE DES METIERS DE LA RESTAURATION;public;LP;;85.8;96.7;86.4;;23.3;23.8;118.5;103.5;88.9;132.4;113.9;116.2;101.1;103.8;85.3;115.2;108.2;91.5;133.2;111.4;120.4;107.0;109.8;88.2;117.3;107.3;92.7;134.2;113.8;117.0;105.4;111.2;88.6
2023-2024;18;93;PROVENCE-ALPES-COTE D'AZUR;23;NICE;06;ALPES-MARITIMES;06088;NICE;0060030A;LYCEE GENERAL MASSENA;public;LEGT;123.9;;136.4;129.2;35.3;;35.3;118.5;103.5;88.9;132.4;113.9;116.2;101.1;103.8;85.3;115.2;108.2;91.5;133.2;111.4;120.4;107.0;109.8;88.2;117.3;107.3;92.7;134.2;113.8;117.0;105.4;111.2;88.6
2023-2024;18;93;PROVENCE-ALPES-COTE D'AZUR;23;NICE;06;ALPES-MARITIMES;06088;NICE;0060034E;LYCEE POLYVALENT HOTELIER TOURISME PAUL AUGIER LYCEE DES METIERS DE L HOTELLERIE ET DU TOURISME;public;LPO;108.4;98.4;107.5;103.9;30.8;32.2;31.9;118.5;103.5;88.9;132.4;113.9;116.2;101.1;103.8;85.3;115.2;108.2;91.5;133.2;111.4;120.4;107.0;109.8;88.2;117.3;107.3;92.7;134.2;113.8;117.0;105.4;111.2;88.6
2023-2024;18;93;PROVENCE-ALPES-COTE D'AZUR;23;NICE;06;ALPES-MARITIMES;06004;ANTIBES;0060668U;LYCEE GENERAL PRIVE MONT SAINT JEAN;privé sous contrat;LEGT;142.2;;;142.2;27.1;;27.1;118.5;103.5;88.9;132.4;113.9;116.2;101.1;103.8;85.3;115.2;108.2;91.5;133.2;111.4;120.4;107.0;109.8;88.2;117.3;107.3;92.7;134.2;113.8;117.0;105.4;111.2;88.6
2023-2024;18;93;PROVENCE-ALPES-COTE D'AZUR;23;NICE;06;ALPES-MARITIMES;06088;NICE;0060715V;LYCEE PROFESSIONNEL PRIVE LA PROVIDENCE;privé sous contrat;LP;;98.2;;99.5;;25.8;25.5;118.5;103.5;88.9;132.4;113.9;116.2;101.1;103.8;85.3;115.2;108.2;91.5;133.2;111.4;120.4;107.0;109.8;88.2;117.3;107.3;92.7;134.2;113.8;117.0;105.4;111.2;88.6
2023-2024;18;93;PROVENCE-ALPES-COTE D'AZUR;23;NICE;06;ALPES-MARITIMES;06104;ROQUEBRUNE CAP MARTIN;0060750H;LYCEE POLYVALENT PRIVE INSTITUTION SAINT JOSEPH CARNOLES;privé sous contrat;LPO;119.4;;;119.4;30.9;;30.9;118.5;103.5;88.9;132.4;113.9;116.2;101.1;103.8;85.3;115.2;108.2;91.5;133.2;111.4;120.4;107.0;109.8;88.2;117.3;107.3;92.7;134.2;113.8;117.0;105.4;111.2;88.6
2023-2024;18;93;PROVENCE-ALPES-COTE D'AZUR;23;NICE;06;ALPES-MARITIMES;06088;NICE;0060774J;LYCEE POLYVALENT PRIVE SAINT JOSEPH;privé sous contrat;LPO;114.7;;102.8;113.2;24.2;;25;118.5;103.5;88.9;132.4;113.9;116.2;101.1;103.8;85.3;115.2;108.2;91.5;133.2;111.4;120.4;107.0;109.8;88.2;117.3;107.3;92.7;134.2;113.8;117.0;105.4;111.2;88.6
2023-2024;18;93;PROVENCE-ALPES-COTE D'AZUR;23;NICE;06;ALPES-MARITIMES;06088;NICE;0060776L;LYCEE PROFESSIONNEL PRIVE SAINT VINCENT DE PAUL LYCEE DES METIERS DU TERTIAIRE;privé sous contrat;LP;;112.9;;112.6;;29.4;29.1;118.5;103.5;88.9;132.4;113.9;116.2;101.1;103.8;85.3;115.2;108.2;91.5;133.2;111.4;120.4;107.0;109.8;88.2;117.3;107.3;92.7;134.2;113.8;117.0;105.4;111.2;88.6
2023-2024;18;93;PROVENCE-ALPES-COTE D'AZUR;23;NICE;06;ALPES-MARITIMES;06088;NICE;0061462G;LYCEE PROFESSIONNEL PRIVE DON BOSCO LYCEE DES METIERS DE LA MAINTENANCE INDUSTRIELLE ET INDUSTRIE GRAPHIQUE;privé sous contrat;LP;;120;;118.7;;26.5;26.5;118.5;103.5;88.9;132.4;113.9;116.2;101.1;103.8;85.3;115.2;108.2;91.5;133.2;111.4;120.4;107.0;109.8;88.2;117.3;107.3;92.7;134.2;113.8;117.0;105.4;111.2;88.6
2023-2024;18;93;PROVENCE-ALPES-COTE D'AZUR;23;NICE;06;ALPES-MARITIMES;06157;VENCE;0061884R;LYCEE GENERAL ET TECHNOLOGIQUE HENRI MATISSE;public;LEGT;127.5;;;127.5;33.6;;33.6;118.5;103.5;88.9;132.4;113.9;116.2;101.1;103.8;85.3;115.2;108.2;91.5;133.2;111.4;120.4;107.0;109.8;88.2;117.3;107.3;92.7;134.2;113.8;117.0;105.4;111.2;88.6
2023-2024;18;93;PROVENCE-ALPES-COTE D'AZUR;23;NICE;06;ALPES-MARITIMES;06153;VALDEBLORE;0061987C;LYCEE POLYVALENT DE LA MONTAGNE;public;LPO;120.7;99.5;;112;30.8;27.1;31;118.5;103.5;88.9;132.4;113.9;116.2;101.1;103.8;85.3;115.2;108.2;91.5;133.2;111.4;120.4;107.0;109.8;88.2;117.3;107.3;92.7;134.2;113.8;117.0;105.4;111.2;88.6
2023-2024;18;93;PROVENCE-ALPES-COTE D'AZUR;23;NICE;06;ALPES-MARITIMES;06088;NICE;0062147B;LYCEE GENERAL PRIVE SAINT BARTHELEMY;privé sous contrat;LEGT;132.4;;;132.4;31.2;;31.2;118.5;103.5;88.9;132.4;113.9;116.2;101.1;103.8;85.3;115.2;108.2;91.5;133.2;111.4;120.4;107.0;109.8;88.2;117.3;107.3;92.7;134.2;113.8;117.0;105.4;111.2;88.6
2023-2024;01;84;AUVERGNE-RHONE-ALPES;08;GRENOBLE;07;ARDECHE;07132;LARGENTIERE;0070016E;LYCEE PROFESSIONNEL HOTELIER LYCEE DES METIERS DE L HOTELLERIE ET DE LA RESTAURATION INNOVANTE;public;LP;;92.5;;92.6;;28.4;26.8;118.5;103.5;88.9;132.4;113.9;116.2;101.1;103.8;85.3;122.6;109.6;96.9;127.5;120.6;122.0;107.5;106.0;90.8;115.9;106.1;94.9;115.9;;113.1;104.0;99.1;88.9
2023-2024;01;84;AUVERGNE-RHONE-ALPES;08;GRENOBLE;07;ARDECHE;07186;PRIVAS;0070021K;LYCEE POLYVALENT VINCENT D INDY;public;LPO;113.7;89.6;94.2;109.1;33.5;23;33.1;118.5;103.5;88.9;132.4;113.9;116.2;101.1;103.8;85.3;122.6;109.6;96.9;127.5;120.6;122.0;107.5;106.0;90.8;115.9;106.1;94.9;115.9;;113.1;104.0;99.1;88.9
2023-2024;01;84;AUVERGNE-RHONE-ALPES;08;GRENOBLE;07;ARDECHE;07186;PRIVAS;0070069M;LYCEE GENERAL ET TECHNOLOGIQUE PRIVE SACRE COEUR NOTRE DAME;privé sous contrat;LEGT;106.3;;;106.3;31.5;;31.5;118.5;103.5;88.9;132.4;113.9;116.2;101.1;103.8;85.3;122.6;109.6;96.9;127.5;120.6;122.0;107.5;106.0;90.8;115.9;106.1;94.9;115.9;;113.1;104.0;99.1;88.9
2023-2024;01;84;AUVERGNE-RHONE-ALPES;08;GRENOBLE;07;ARDECHE;07010;ANNONAY;0070100W;LYCEE PROFESSIONNEL PRIVE MARC SEGUIN;privé sous contrat;LP;;99;;99.2;;28.7;28.5;118.5;103.5;88.9;132.4;113.9;116.2;101.1;103.8;85.3;122.6;109.6;96.9;127.5;120.6;122.0;107.5;106.0;90.8;115.9;106.1;94.9;115.9;;113.1;104.0;99.1;88.9
2023-2024;01;84;AUVERGNE-RHONE-ALPES;08;GRENOBLE;07;ARDECHE;07319;LE TEIL;0070112J;LYCEE PROFESSIONNEL PRIVE SAINT ANDRE;privé sous contrat;LP;;100.6;;99.7;;25.3;24.8;118.5;103.5;88.9;132.4;113.9;116.2;101.1;103.8;85.3;122.6;109.6;96.9;127.5;120.6;122.0;107.5;106.0;90.8;115.9;106.1;94.9;115.9;;113.1;104.0;99.1;88.9
2023-2024;06;44;GRAND EST;19;REIMS;08;ARDENNES;08105;CHARLEVILLE MEZIERES;0080007P;LYCEE GENERAL ET TECHNOLOGIQUE SEVIGNE;public;LEGT;102.7;;93.7;101.6;36.1;;35.4;118.5;103.5;88.9;132.4;113.9;116.2;101.1;103.8;85.3;110.9;98.8;85.3;128.1;106.6;113.8;96.1;98.7;81.9;101.1;101.3;78.9;119.0;99.9;116.0;97.5;90.9;78.5
