Rentrée scolaire;Académie;Code du département;Département;UAI;Nom de l'établissment;Code INSEE de la commune;Nom de la commune;Secteur;IPS
2021-2022;NANCY-METZ;088;VOSGES;0880805X;ECOLE ELEMENTAIRE DU CENTRE;88412;SAINT BENOIT LA CHIPOTTE;public;90.9
2021-2022;NANCY-METZ;088;VOSGES;0880807Z;ECOLE ELEMENTAIRE;88417;SAINT GORGON;public;91.9
2021-2022;NANCY-METZ;088;VOSGES;0880832B;ECOLE ELEMENTAIRE;88373;RAON SUR PLAINE;public;94.7
2021-2022;NANCY-METZ;088;VOSGES;0880876Z;ECOLE PRIMAIRE DES SOTRES JULIENRUPT;88462;LE SYNDICAT;public;90.1
2021-2022;NANCY-METZ;088;VOSGES;0880886K;ECOLE PRIMAIRE DU CENTRE;88088;LA CHAPELLE AUX BOIS;public;91.5
2021-2022;NANCY-METZ;088;VOSGES;0880955K;ECOLE PRIMAIRE LAUNOIS;88033;BAN DE SAPT;public;107.4
2021-2022;NANCY-METZ;088;VOSGES;0880956L;ECOLE ELEMENTAIRE;88053;BELVAL;public;82.6
2021-2022;NANCY-METZ;088;VOSGES;0881027N;GROUPE SCOLAIRE CAMILLE CLAUDEL;88413;SAINT DIE DES VOSGES;public;99.8
2021-2022;NANCY-METZ;088;VOSGES;0881042E;ECOLE ELEMENTAIRE DU CENTRE;88463;TAINTRUX;public;112.5
2021-2022;NANCY-METZ;088;VOSGES;0881045H;ECOLE ELEMENTAIRE DU CENTRE;88519;LA VOIVRE;public;86.6
2021-2022;NANCY-METZ;088;VOSGES;0881048L;ECOLE PRIMAIRE;88037;BASSE SUR LE RUPT;public;95.1
2021-2022;NANCY-METZ;088;VOSGES;0881093K;ECOLE ELEMENTAIRE LE HAUT DE FOL;88516;VITTEL;public;99.8
2021-2022;NANCY-METZ;088;VOSGES;0881276J;ECOLE PRIMAIRE PRIVEE JEANNE D ARC;88078;BRUYERES;privé sous contrat;83.1
2021-2022;NANCY-METZ;088;VOSGES;0881291A;ECOLE PRIMAIRE PRIVEE NOTRE DAME;88196;GERARDMER;privé sous contrat;109.2
2021-2022;NANCY-METZ;088;VOSGES;0881298H;ECOLE PRIMAIRE PRIVEE JEANNE D ARC;88321;NEUFCHATEAU;privé sous contrat;97.0
2021-2022;NANCY-METZ;088;VOSGES;0881304P;ECOLE PRIMAIRE PRIVEE SAINTE THERESE;88372;RAON L ETAPE;privé sous contrat;96.4
2021-2022;NANCY-METZ;088;VOSGES;0881306S;ECOLE PRIMAIRE PRIVEE SAINT ROMARIC;88383;REMIREMONT;privé sous contrat;107.0
2021-2022;NANCY-METZ;088;VOSGES;0881308U;ECOLE PRIMAIRE PRIVEE SAINTE MARIE;88413;SAINT DIE DES VOSGES;privé sous contrat;117.0
2021-2022;NANCY-METZ;088;VOSGES;0881327P;ECOLE PRIMAIRE;88201;GIRANCOURT;public;112.7
2021-2022;NANCY-METZ;088;VOSGES;0881328R;ECOLE PRIMAIRE;88212;GRAND;public;88.3
2021-2022;NANCY-METZ;088;VOSGES;0881351R;ECOLE PRIMAIRE;88099;CHAVELOT;public;110.1
2021-2022;NANCY-METZ;088;VOSGES;0881483J;ECOLE ELEMENTAIRE SAINT LAURENT;88160;EPINAL;public;94.8
2021-2022;NANCY-METZ;088;VOSGES;0881489R;ECOLE PRIMAIRE;88135;DOCELLES;public;87.5
2021-2022;NANCY-METZ;088;VOSGES;0881539V;ECOLE ELEMENTAIRE DU CENTRE;88424;SAINTE MARGUERITE;public;97.5
2021-2022;NANCY-METZ;088;VOSGES;0881580P;ECOLE PRIMAIRE;88029;LA VOGE LES BAINS;public;90.0
2021-2022;NANCY-METZ;088;VOSGES;0881581R;ECOLE PRIMAIRE;88151;DOMPAIRE;public;109.7
2021-2022;NANCY-METZ;088;VOSGES;0881599K;ECOLE ELEMENTAIRE EMILE DURKHEIM;88160;EPINAL;public;100.7
2021-2022;NANCY-METZ;088;VOSGES;0881605S;ECOLE ELEMENTAIRE;88124;DARNEY;public;91.8
2021-2022;NANCY-METZ;088;VOSGES;0881607U;ECOLE PRIMAIRE DU TILLEUL;88372;RAON L ETAPE;public;84.8
2021-2022;NANCY-METZ;088;VOSGES;0881608V;ECOLE ELEMENTAIRE;88148;DOMMARTIN LES REMIREMONT;public;111.6
2021-2022;NANCY-METZ;088;VOSGES;0881644J;ECOLE ELEMENTAIRE LE SAUT LE CERF;88160;EPINAL;public;81.9
2021-2022;NANCY-METZ;088;VOSGES;0881648N;ECOLE PRIMAIRE DU CENTRE;88481;URIMENIL;public;109.4
2021-2022;NANCY-METZ;088;VOSGES;0881687F;ECOLE PRIMAIRE;88441;SANS VALLOIS;public;86.9
2021-2022;NANCY-METZ;088;VOSGES;0881702X;ECOLE PRIMAIRE DU PERVIS;88310;MONTHUREUX SUR SAONE;public;92.6
2021-2022;NANCY-METZ;088;VOSGES;0881723V;ECOLE PRIMAIRE LES NEUF HORIZONS;88280;MADEGNEY;public;100.4
2021-2022;NANCY-METZ;088;VOSGES;0881753C;ECOLE PRIMAIRE DES 3 VILLAGES;88322;LA NEUVEVILLE DEVANT LEPANGES;public;90.5
2021-2022;DIJON;089;YONNE;0890094U;ECOLE ELEMENTAIRE RENOIR;89024;AUXERRE;public;71.0
2021-2022;DIJON;089;YONNE;0890124B;ECOLE ELEMENTAIRE;89134;CUSSY LES FORGES;public;104.5
2021-2022;DIJON;089;YONNE;0890128F;ECOLE PRIMAIRE;89267;MONTREAL;public;101.2
2021-2022;DIJON;089;YONNE;0890150E;ECOLE ELEMENTAIRE;89312;PRECY LE SEC;public;98.0
2021-2022;DIJON;089;YONNE;0890186U;ECOLE PRIMAIRE;89153;EPINEUIL;public;104.8
2021-2022;DIJON;089;YONNE;0890195D;ECOLE PRIMAIRE DES PRES HAUTS;89418;TONNERRE;public;75.7
2021-2022;DIJON;089;YONNE;0890209U;ECOLE ELEMENTAIRE PAUL BERT;89309;PONT SUR YONNE;public;90.8
2021-2022;DIJON;089;YONNE;0890221G;ECOLE ELEMENTAIRE;89133;CUDOT;public;95.8
2021-2022;DIJON;089;YONNE;0890265E;ECOLE ELEMENTAIRE;89113;COLLEMIERS;public;113.6
2021-2022;DIJON;089;YONNE;0890300T;ECOLE ELEMENTAIRE;89199;GY L EVEQUE;public;108.5
2021-2022;DIJON;089;YONNE;0890398Z;ECOLE ELEMENTAIRE D APPLICATION LES BOUSSICATS;89024;AUXERRE;public;102.3
2021-2022;DIJON;089;YONNE;0890400B;ECOLE PRIMAIRE LES CLAIRIONS;89024;AUXERRE;public;110.4
2021-2022;DIJON;089;YONNE;0890448D;ECOLE ELEMENTAIRE;89295;PERRIGNY;public;110.4
2021-2022;DIJON;089;YONNE;0890454K;ECOLE PRIMAIRE;89453;VILLEFARGEAU;public;116.7
2021-2022;DIJON;089;YONNE;0890473F;ECOLE ELEMENTAIRE;89062;CARISEY;public;96.3
2021-2022;DIJON;089;YONNE;0890483S;ECOLE ELEMENTAIRE;89292;PERCEY;public;91.9
2021-2022;DIJON;089;YONNE;0890489Y;ECOLE ELEMENTAIRE;89474;VILLIERS VINEUX;public;100.7
2021-2022;DIJON;089;YONNE;0890490Z;ECOLE PRIMAIRE DE PARIS;89024;AUXERRE;public;110.3
2021-2022;DIJON;089;YONNE;0890524L;ECOLE ELEMENTAIRE MARIE NOËL;89145;DOMECY SUR CURE;public;95.0
2021-2022;DIJON;089;YONNE;0890556W;ECOLE PRIMAIRE;89436;VENIZY;public;92.8
2021-2022;DIJON;089;YONNE;0890560A;ECOLE PRIMAIRE;89066;CERISIERS;public;99.1
2021-2022;DIJON;089;YONNE;0890570L;ECOLE ELEMENTAIRE;89144;DOMATS;public;99.4
2021-2022;DIJON;089;YONNE;0890572N;ECOLE PRIMAIRE;89209;JOUY;public;102.3
2021-2022;DIJON;089;YONNE;0890602W;ECOLE PRIMAIRE;89067;CEZY;public;91.7
2021-2022;DIJON;089;YONNE;0890604Y;ECOLE ELEMENTAIRE;89075;CHAMPLAY;public;103.4
2021-2022;DIJON;089;YONNE;0890611F;ECOLE PRIMAIRE ALBERT GARNIER;89206;JOIGNY;public;76.2
2021-2022;DIJON;089;YONNE;0890621S;ECOLE PRIMAIRE GEORGES VARENNES;89218;LAROCHE SAINT CYDROINE;public;90.5
2021-2022;DIJON;089;YONNE;0890655D;ECOLE PRIMAIRE JEAN PEZENNEC;89345;SAINT FLORENTIN;public;73.3
2021-2022;DIJON;089;YONNE;0890670V;ECOLE PRIMAIRE;89268;MONT SAINT SULPICE;public;104.6
2021-2022;DIJON;089;YONNE;0890671W;ECOLE PRIMAIRE;89282;ORMOY;public;112.1
2021-2022;DIJON;089;YONNE;0890724D;ECOLE ELEMENTAIRE;89051;LES BORDES;public;107.2
2021-2022;DIJON;089;YONNE;0890744A;ECOLE ELEMENTAIRE;89196;VALRAVILLON;public;107.5
2021-2022;DIJON;089;YONNE;0890754L;ECOLE PRIMAIRE;89384;SENAN;public;99.7
2021-2022;DIJON;089;YONNE;0890811Y;ECOLE PRIMAIRE PRIVEE SAINTE THERESE;89206;JOIGNY;privé sous contrat;109.0
2021-2022;DIJON;089;YONNE;0890826P;ECOLE ELEMENTAIRE JEAN BAPTISTE CHAUVEAU;89460;VILLENEUVE LA GUYARD;public;100.3
2021-2022;DIJON;089;YONNE;0890865G;ECOLE PRIMAIRE ROSOY (LES ROSEAUX);89326;ROSOY;public;103.9
2021-2022;DIJON;089;YONNE;0890884C;ECOLE ELEMENTAIRE PIERRE CURIE;89287;PARON;public;98.9
2021-2022;DIJON;089;YONNE;0890925X;ECOLE PRIMAIRE PUBLIQUE;89201;HERY;public;111.1
2021-2022;DIJON;089;YONNE;0890927Z;ECOLE PRIMAIRE PUBLIQUE;89318;QUARRE LES TOMBES;public;96.3
2021-2022;DIJON;089;YONNE;0890929B;ECOLE PRIMAIRE;89046;BLENEAU;public;96.6
